;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
;sum;min;max;mean;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean
DATA (YYYY-MM-DD);;;;;;;;;;;;;;;;;;;;;;;
2008-01-24;0.0;948.0;948.0;948.0;;17.0;19.0;18.0;13.0;15.0;14.0;50.0;77.0;65.95833333333333;9.0;152.0;70.875;7.0;7.0;7.0;2.0;5.0;3.6
2008-01-25;0.0;944.0;947.0;945.6666666666666;2071.0;18.0;26.0;20.25;;;;48.0;83.0;67.5;22.0;183.0;82.25;7.0;9.0;8.333333333333334;4.0;6.0;4.8
2008-01-26;0.0;945.0;947.0;946.0;1147.0;18.0;25.0;20.142857142857142;13.0;14.0;13.8;47.0;81.0;64.66666666666667;60.0;150.0;90.625;9.0;11.0;10.0;2.0;2.0;2.0
2008-01-27;0.0;944.0;946.0;944.75;21.0;21.0;22.0;21.5;13.0;14.0;13.333333333333334;43.0;76.0;62.875;45.0;95.0;71.5;8.0;14.0;10.0;5.0;7.0;6.0
2008-01-28;0.0;942.0;945.0;943.5;3455.0;;;;14.0;14.0;14.0;41.0;74.0;57.958333333333336;12.0;358.0;62.5;8.0;10.0;8.5;4.0;4.0;4.0
2008-01-29;0.0;941.0;943.0;942.0;567.0;18.0;22.0;20.0;15.0;15.0;15.0;63.0;91.0;78.625;45.0;98.0;65.29166666666667;;;;3.0;5.0;4.0
2008-01-30;0.0;938.0;939.0;938.75;612.3333333333334;18.0;18.0;18.0;17.0;17.0;17.0;79.0;95.0;87.5;48.0;110.0;67.875;6.0;12.0;8.666666666666666;;;
2008-01-31;1.0;936.0;938.0;937.0;441.0;;;;15.0;18.0;16.25;85.0;94.0;90.5;58.0;117.0;90.91666666666667;6.0;8.0;7.0;3.0;3.0;3.0
2008-02-01;0.0;935.0;935.0;935.0;193.5;18.0;18.0;18.0;15.0;17.0;16.0;68.0;93.0;79.79166666666667;22.0;276.0;119.54166666666667;4.0;10.0;6.666666666666667;2.0;3.0;2.5
2008-02-02;2.0;936.0;936.0;936.0;264.0;18.0;21.0;19.5;17.0;19.0;18.0;70.0;97.0;89.08333333333333;23.0;330.0;180.54166666666666;5.0;6.0;5.5;2.0;2.0;2.0
2008-02-03;0.0;941.0;941.0;941.0;777.0;18.0;22.0;19.4;;;;59.0;99.0;87.95833333333333;7.0;324.0;221.95833333333334;4.0;6.0;5.333333333333333;1.0;6.0;2.5
2008-02-04;0.0;944.0;945.0;944.4;3703.0;15.0;23.0;19.0;9.0;11.0;10.0;41.0;91.0;69.83333333333333;46.0;209.0;118.625;3.0;5.0;4.333333333333333;2.0;2.0;2.0
2008-02-05;0.0;944.0;945.0;944.5;;17.0;17.0;17.0;10.0;12.0;11.0;33.0;91.0;65.08333333333333;43.0;342.0;113.33333333333333;5.0;7.0;6.0;;;
2008-02-06;0.0;942.0;947.0;945.0;2394.0;;;;;;;32.0;82.0;57.0;25.0;354.0;86.625;5.0;7.0;6.0;2.0;4.0;3.0
2008-02-07;0.0;942.0;944.0;943.0;;26.0;26.0;26.0;13.0;18.0;15.0;32.0;81.0;57.5;6.0;354.0;119.25;5.0;9.0;7.0;3.0;5.0;4.0
2008-02-08;0.0;941.0;944.0;943.0;;18.0;30.0;24.0;14.0;17.0;16.0;36.0;89.0;63.041666666666664;26.0;343.0;96.54166666666667;7.0;8.0;7.666666666666667;2.0;5.0;3.75
2008-02-09;0.0;940.0;942.0;941.0;678.0;19.0;28.0;22.0;17.0;17.0;17.0;54.0;97.0;73.41666666666667;15.0;352.0;127.29166666666667;8.0;12.0;10.25;3.0;6.0;5.0
2008-02-10;16.0;937.0;937.0;937.0;1302.0;19.0;19.0;19.0;18.0;20.0;18.666666666666668;73.0;98.0;90.66666666666667;4.0;330.0;154.625;4.0;5.0;4.75;0.0;2.0;1.4
2008-02-11;0.0;940.0;943.0;941.6666666666666;631.0;18.0;19.0;18.25;15.0;18.0;17.4;86.0;98.0;94.75;40.0;263.0;157.20833333333334;2.0;5.0;3.5;0.0;4.0;2.6666666666666665
2008-02-12;0.0;942.0;942.0;942.0;431.6666666666667;17.0;17.0;17.0;17.0;17.0;17.0;70.0;95.0;84.0;18.0;284.0;148.375;4.0;4.0;4.0;2.0;3.0;2.5
2008-02-13;0.0;942.0;942.0;942.0;;15.0;17.0;16.333333333333332;15.0;15.0;15.0;55.0;99.0;81.45833333333333;3.0;360.0;212.08333333333334;0.0;7.0;3.3333333333333335;0.0;2.0;0.5
2008-02-14;0.0;942.0;945.0;943.6666666666666;2839.0;16.0;27.0;21.5;12.0;15.0;13.666666666666666;39.0;92.0;69.875;45.0;288.0;137.83333333333334;3.0;7.0;4.333333333333333;1.0;1.0;1.0
2008-02-15;0.0;942.0;943.0;942.3333333333334;3061.0;19.0;29.0;23.0;15.0;18.0;17.0;45.0;91.0;72.75;4.0;291.0;121.33333333333333;7.0;7.0;7.0;1.0;3.0;2.3333333333333335
2008-02-16;0.0;942.0;942.0;942.0;1653.0;20.0;25.0;22.0;17.0;17.0;17.0;55.0;87.0;74.25;1.0;352.0;142.83333333333334;;;;;;
2008-02-17;0.0;941.0;944.0;943.0;1583.0;18.0;22.0;20.0;17.0;18.0;17.666666666666668;58.0;96.0;78.91666666666667;9.0;281.0;122.5;3.0;7.0;4.6;1.0;3.0;2.0
2008-02-18;0.0;947.0;947.0;947.0;;19.0;21.0;20.0;17.0;18.0;17.5;53.0;98.0;79.83333333333333;45.0;308.0;126.83333333333333;8.0;8.0;8.0;0.0;3.0;1.0
2008-02-19;0.0;941.0;944.0;942.5;1887.0;21.0;24.0;22.5;16.0;16.0;16.0;46.0;90.0;73.70833333333333;14.0;253.0;91.0;5.0;9.0;7.0;2.0;5.0;3.25
2008-02-20;0.0;;;;1541.0;20.0;22.0;21.0;;;;71.0;90.0;80.45833333333333;17.0;259.0;117.41666666666667;5.0;10.0;7.25;2.0;4.0;3.0
2008-02-21;0.0;940.0;940.0;940.0;3118.5;18.0;26.0;21.75;;;;47.0;98.0;76.45833333333333;55.0;357.0;166.41666666666666;1.0;6.0;4.333333333333333;0.0;2.0;0.5
2008-02-22;0.0;941.0;943.0;942.0;;18.0;26.0;22.0;16.0;17.0;16.5;51.0;92.0;74.04166666666667;20.0;353.0;123.95833333333333;4.0;8.0;6.333333333333333;3.0;3.0;3.0
2008-02-23;0.0;943.0;945.0;944.0;1946.5;25.0;25.0;25.0;16.0;17.0;16.5;44.0;89.0;72.04166666666667;31.0;177.0;118.58333333333333;7.0;10.0;8.5;1.0;1.0;1.0
2008-02-24;0.0;944.0;945.0;944.3333333333334;1921.0;24.0;25.0;24.666666666666668;16.0;18.0;16.5;50.0;92.0;74.79166666666667;17.0;215.0;109.83333333333333;5.0;5.0;5.0;2.0;3.0;2.5
2008-02-25;0.0;942.0;945.0;943.75;;;;;16.0;18.0;17.0;52.0;85.0;71.375;17.0;169.0;84.95833333333333;6.0;9.0;7.0;4.0;5.0;4.5
