;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
;sum;min;max;mean;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean
DATA (YYYY-MM-DD);;;;;;;;;;;;;;;;;;;;;;;
2012-03-22;0.0;937.0;940.0;938.3333333333334;2126.5;17.0;18.0;17.5;16.0;17.0;16.333333333333332;59.0;96.0;81.125;4.0;360.0;184.04166666666666;3.0;4.0;3.5;0.0;0.0;0.0
2012-03-23;0.0;938.0;940.0;939.5;1428.0;18.0;18.0;18.0;15.0;16.0;15.5;65.0;95.0;81.08333333333333;58.0;290.0;169.95833333333334;0.0;5.0;3.25;0.0;2.0;1.0
2012-03-24;0.0;942.0;944.0;943.0;1074.0;14.0;18.0;16.0;13.0;14.0;13.75;55.0;95.0;79.79166666666667;108.0;228.0;156.20833333333334;3.0;8.0;5.5;0.0;3.0;2.0
2012-03-25;0.0;943.0;944.0;943.75;3146.0;14.0;21.0;18.333333333333332;10.0;12.0;11.5;41.0;91.0;70.66666666666667;9.0;318.0;137.54166666666666;3.0;5.0;4.0;2.0;3.0;2.3333333333333335
2012-03-26;1.0;942.0;942.0;942.0;1594.5;;;;14.0;15.0;14.333333333333334;54.0;96.0;79.33333333333333;1.0;320.0;119.54166666666667;4.0;6.0;5.0;3.0;3.0;3.0
2012-03-27;0.0;941.0;943.0;941.75;18.0;13.0;14.0;13.5;6.0;15.0;12.285714285714286;54.0;97.0;83.91666666666667;30.0;334.0;234.45833333333334;2.0;2.0;2.0;2.0;5.0;3.6666666666666665
2012-03-28;0.0;946.0;946.0;946.0;2856.0;7.0;8.0;7.5;5.0;5.0;5.0;41.0;86.0;63.083333333333336;219.0;323.0;269.1666666666667;2.0;9.0;5.333333333333333;0.0;2.0;1.1428571428571428
2012-03-29;0.0;945.0;945.0;945.0;;22.0;22.0;22.0;5.0;6.0;5.5;32.0;85.0;58.5;27.0;355.0;133.95833333333334;0.0;5.0;2.5;0.0;2.0;1.25
2012-03-30;0.0;948.0;949.0;948.6666666666666;;15.0;16.0;15.5;4.0;11.0;8.333333333333334;34.0;78.0;59.583333333333336;42.0;351.0;128.125;4.0;4.0;4.0;3.0;3.0;3.0
2012-03-31;0.0;949.0;949.0;949.0;336.0;16.0;21.0;17.25;12.0;15.0;13.0;33.0;86.0;69.29166666666667;22.0;344.0;93.04166666666667;6.0;8.0;7.0;3.0;5.0;4.0
2012-04-01;0.0;945.0;945.0;945.0;1743.5;17.0;27.0;21.5;8.0;14.0;12.25;31.0;88.0;65.45833333333333;10.0;301.0;107.41666666666667;3.0;3.0;3.0;0.0;5.0;3.0
2012-04-02;0.0;944.0;945.0;944.5;2791.0;15.0;26.0;20.5;12.0;15.0;13.5;32.0;93.0;66.79166666666667;17.0;349.0;128.16666666666666;5.0;9.0;7.333333333333333;2.0;5.0;3.3333333333333335
2012-04-03;0.0;943.0;946.0;945.0;;17.0;27.0;21.25;9.0;9.0;9.0;30.0;83.0;62.208333333333336;14.0;315.0;116.20833333333333;;;;1.0;3.0;2.3333333333333335
2012-04-04;0.0;943.0;945.0;943.6666666666666;1450.0;29.0;29.0;29.0;14.0;15.0;14.333333333333334;33.0;78.0;59.083333333333336;3.0;356.0;108.29166666666667;2.0;9.0;6.0;0.0;5.0;2.6666666666666665
2012-04-05;8.0;939.0;942.0;940.5;546.0;;;;14.0;15.0;14.333333333333334;48.0;97.0;78.0;13.0;336.0;101.625;9.0;11.0;10.0;3.0;7.0;4.25
2012-04-06;0.0;941.0;942.0;941.5;218.0;15.0;21.0;17.2;14.0;15.0;14.5;59.0;95.0;82.95833333333333;21.0;353.0;245.33333333333334;1.0;6.0;3.3333333333333335;0.0;1.0;0.14285714285714285
2012-04-07;0.0;943.0;943.0;943.0;969.3333333333334;12.0;22.0;17.0;10.0;12.0;10.8;37.0;86.0;64.45833333333333;28.0;357.0;172.16666666666666;0.0;4.0;2.3333333333333335;0.0;0.0;0.0
2012-04-08;0.0;942.0;942.0;942.0;2066.5;18.0;25.0;21.333333333333332;12.0;13.0;12.5;40.0;85.0;61.791666666666664;54.0;359.0;153.54166666666666;3.0;5.0;4.0;2.0;3.0;2.6666666666666665
2012-04-09;0.0;944.0;946.0;944.75;2509.0;16.0;21.0;19.333333333333332;8.0;16.0;10.75;44.0;73.0;58.75;52.0;160.0;89.66666666666667;5.0;8.0;6.25;;;
2012-04-10;0.0;945.0;946.0;945.3333333333334;395.3333333333333;19.0;20.0;19.333333333333332;15.0;17.0;16.333333333333332;64.0;79.0;72.54166666666667;42.0;88.0;55.083333333333336;10.0;11.0;10.5;5.0;5.0;5.0
2012-04-11;0.0;946.0;947.0;946.3333333333334;4.0;22.0;22.0;22.0;16.0;19.0;18.0;66.0;95.0;82.91666666666667;6.0;350.0;109.95833333333333;2.0;10.0;5.666666666666667;2.0;3.0;2.6666666666666665
2012-04-12;0.0;945.0;947.0;946.0;784.5;19.0;19.0;19.0;19.0;19.0;19.0;67.0;97.0;89.45833333333333;24.0;352.0;172.70833333333334;0.0;3.0;1.5;0.0;1.0;0.3333333333333333
2012-04-13;0.0;943.0;943.0;943.0;1600.0;18.0;20.0;18.8;18.0;19.0;18.333333333333332;66.0;96.0;85.95833333333333;5.0;255.0;130.5;4.0;7.0;5.4;0.0;3.0;1.3333333333333333
2012-04-14;10.0;938.0;939.0;938.5;1.0;16.0;19.0;18.0;18.0;18.0;18.0;84.0;96.0;90.83333333333333;17.0;338.0;152.5;9.0;9.0;9.0;0.0;3.0;1.5
2012-04-15;0.0;941.0;944.0;943.0;0.0;14.0;19.0;15.666666666666666;14.0;14.0;14.0;59.0;97.0;86.375;161.0;273.0;209.66666666666666;4.0;4.0;4.0;0.0;2.0;0.5714285714285714
2012-04-16;0.0;946.0;946.0;946.0;1086.5;;;;11.0;15.0;13.166666666666666;58.0;98.0;82.66666666666667;52.0;163.0;110.70833333333333;0.0;6.0;1.8;0.0;0.0;0.0
2012-04-17;0.0;946.0;946.0;946.0;;;;;13.0;15.0;14.0;51.0;89.0;74.58333333333333;18.0;357.0;128.66666666666666;5.0;7.0;6.0;3.0;5.0;4.0
2012-04-18;0.0;947.0;948.0;947.3333333333334;2687.0;17.0;20.0;18.5;14.0;15.0;14.333333333333334;53.0;92.0;73.04166666666667;23.0;359.0;124.125;6.0;7.0;6.333333333333333;0.0;3.0;1.4
2012-04-19;0.0;944.0;946.0;945.0;238.0;17.0;22.0;19.0;15.0;17.0;15.666666666666666;62.0;87.0;76.875;7.0;344.0;108.25;8.0;8.0;8.0;;;
2012-04-20;0.0;943.0;943.0;943.0;2285.0;18.0;18.0;18.0;14.0;14.0;14.0;50.0;88.0;72.83333333333333;57.0;278.0;127.5;0.0;6.0;4.0;0.0;2.0;0.5
2012-04-21;0.0;942.0;946.0;944.0;0.0;17.0;22.0;18.5;14.0;14.0;14.0;40.0;93.0;68.125;108.0;203.0;149.5;4.0;8.0;5.666666666666667;1.0;3.0;2.0
2012-04-22;0.0;947.0;948.0;947.8;259.6666666666667;;;;8.0;10.0;8.333333333333334;55.0;94.0;75.375;117.0;218.0;160.04166666666666;5.0;6.0;5.75;3.0;3.0;3.0
2012-04-23;0.0;946.0;947.0;946.6666666666666;;9.0;9.0;9.0;8.0;10.0;9.0;50.0;93.0;75.95833333333333;5.0;299.0;155.75;5.0;5.0;5.0;0.0;2.0;1.0
2012-04-24;0.0;945.0;945.0;945.0;818.0;9.0;15.0;11.666666666666666;6.0;10.0;7.25;63.0;88.0;76.75;72.0;175.0;116.66666666666667;3.0;6.0;4.333333333333333;;;
2012-04-25;0.0;944.0;944.0;944.0;1401.5;11.0;11.0;11.0;9.0;12.0;10.0;67.0;97.0;85.45833333333333;65.0;294.0;133.04166666666666;2.0;7.0;4.8;0.0;2.0;1.375
2012-04-26;0.0;938.0;939.0;938.5;247.5;13.0;13.0;13.0;;;;77.0;97.0;90.83333333333333;31.0;294.0;190.58333333333334;6.0;6.0;6.0;0.0;2.0;0.7142857142857143
2012-04-27;0.0;944.0;944.0;944.0;828.5;12.0;13.0;12.5;8.0;11.0;9.5;57.0;98.0;86.66666666666667;132.0;278.0;204.70833333333334;5.0;6.0;5.666666666666667;0.0;3.0;1.5
2012-04-28;5.0;940.0;944.0;942.0;73.5;9.0;14.0;11.333333333333334;7.0;7.0;7.0;74.0;97.0;86.125;24.0;301.0;117.08333333333333;0.0;7.0;4.75;0.0;0.0;0.0
2012-04-29;1.0;939.0;942.0;940.5;;9.0;13.0;11.333333333333334;10.0;10.0;10.0;82.0;98.0;94.04166666666667;116.0;257.0;230.875;7.0;7.0;7.0;3.0;3.0;3.0
2012-04-30;0.0;949.0;949.0;949.0;915.0;8.0;9.0;8.5;4.0;8.0;6.666666666666667;67.0;95.0;85.45833333333333;206.0;251.0;231.625;3.0;7.0;4.75;2.0;3.0;2.75
2012-05-01;0.0;950.0;950.0;950.0;;5.0;15.0;9.0;2.0;10.0;6.714285714285714;71.0;98.0;86.79166666666667;22.0;345.0;202.5;0.0;4.0;1.0;0.0;0.0;0.0
2012-05-02;0.0;951.0;953.0;952.0;;11.0;18.0;13.333333333333334;8.0;10.0;9.0;44.0;94.0;75.95833333333333;13.0;357.0;87.16666666666667;5.0;5.0;5.0;2.0;2.0;2.0
2012-05-03;0.0;952.0;954.0;953.0;;22.0;22.0;22.0;9.0;9.0;9.0;53.0;92.0;75.25;16.0;339.0;80.875;3.0;7.0;5.0;0.0;4.0;2.5
2012-05-04;0.0;;;;;17.0;23.0;18.75;14.0;15.0;14.333333333333334;52.0;93.0;75.0;8.0;348.0;87.91666666666667;3.0;7.0;4.666666666666667;2.0;2.0;2.0
2012-05-05;0.0;949.0;951.0;950.0;;14.0;19.0;17.0;15.0;15.0;15.0;46.0;90.0;73.33333333333333;14.0;316.0;101.16666666666667;5.0;8.0;6.0;2.0;2.0;2.0
2012-05-06;0.0;949.0;951.0;950.0;;14.0;22.0;17.833333333333332;12.0;14.0;13.0;52.0;96.0;80.625;27.0;210.0;115.04166666666667;4.0;7.0;6.0;1.0;2.0;1.3333333333333333
2012-05-07;0.0;953.0;953.0;953.0;2414.5;15.0;17.0;16.0;12.0;12.0;12.0;40.0;90.0;72.20833333333333;1.0;359.0;112.125;;;;;;
2012-05-08;0.0;952.0;952.0;952.0;2326.0;;;;;;;49.0;90.0;71.20833333333333;7.0;278.0;87.75;5.0;7.0;6.0;2.0;2.0;2.0
2012-05-09;0.0;943.0;948.0;945.25;813.0;14.0;21.0;18.333333333333332;14.0;14.0;14.0;48.0;90.0;72.625;2.0;357.0;112.25;3.0;7.0;5.5;0.0;4.0;2.0
2012-05-10;0.0;939.0;942.0;940.5;2054.0;14.0;18.0;16.666666666666668;11.0;13.0;12.0;48.0;87.0;66.70833333333333;6.0;338.0;153.875;5.0;6.0;5.5;3.0;3.0;3.0
2012-05-11;0.0;939.0;940.0;939.5;541.2;18.0;20.0;19.0;12.0;15.0;13.0;55.0;82.0;74.125;9.0;353.0;162.0;4.0;4.0;4.0;0.0;0.0;0.0
2012-05-12;0.0;939.0;941.0;940.0;2206.0;11.0;11.0;11.0;;;;51.0;97.0;76.375;3.0;326.0;179.91666666666666;6.0;7.0;6.666666666666667;2.0;3.0;2.5
2012-05-13;0.0;945.0;945.0;945.0;2445.0;12.0;12.0;12.0;3.0;6.0;4.25;39.0;90.0;67.83333333333333;75.0;302.0;223.25;0.0;4.0;0.6666666666666666;0.0;2.0;0.25
2012-05-14;0.0;;;;;17.0;18.0;17.5;4.0;4.0;4.0;32.0;88.0;67.41666666666667;50.0;217.0;119.54166666666667;;;;0.0;0.0;0.0
2012-05-15;0.0;949.0;952.0;950.3333333333334;;11.0;18.0;14.5;;;;32.0;84.0;68.0;20.0;147.0;77.41666666666667;7.0;7.0;7.0;3.0;3.0;3.0
2012-05-16;0.0;950.0;950.0;950.0;2190.0;12.0;12.0;12.0;9.0;11.0;10.0;51.0;84.0;72.08333333333333;36.0;352.0;80.375;5.0;8.0;7.0;4.0;4.0;4.0
2012-05-17;0.0;949.0;949.0;949.0;1424.0;;;;9.0;9.0;9.0;45.0;90.0;71.54166666666667;33.0;353.0;78.75;6.0;6.0;6.0;2.0;4.0;3.2
2012-05-18;0.0;948.0;950.0;949.0;;12.0;18.0;14.666666666666666;9.0;9.0;9.0;50.0;82.0;69.0;10.0;357.0;75.29166666666667;;;;2.0;3.0;2.6666666666666665
2012-05-19;0.0;947.0;950.0;948.6666666666666;39.0;17.0;17.0;17.0;10.0;10.0;10.0;49.0;88.0;70.91666666666667;2.0;354.0;68.91666666666667;3.0;9.0;5.333333333333333;1.0;5.0;3.8
2012-05-20;0.0;948.0;948.0;948.0;;;;;9.0;11.0;10.333333333333334;43.0;88.0;68.45833333333333;7.0;346.0;74.79166666666667;6.0;8.0;7.0;0.0;4.0;2.0
2012-05-21;0.0;950.0;950.0;950.0;1344.5;13.0;19.0;15.75;10.0;10.0;10.0;42.0;90.0;68.66666666666667;10.0;354.0;87.25;1.0;7.0;5.25;0.0;4.0;3.0
2012-05-22;0.0;947.0;949.0;948.3333333333334;;15.0;20.0;18.0;11.0;12.0;11.5;49.0;89.0;69.75;2.0;348.0;99.04166666666667;6.0;8.0;7.0;0.0;4.0;2.0
2012-05-23;0.0;947.0;947.0;947.0;860.0;17.0;17.0;17.0;13.0;13.0;13.0;64.0;90.0;75.33333333333333;28.0;358.0;103.16666666666667;2.0;2.0;2.0;0.0;2.0;0.6666666666666666
2012-05-24;0.0;947.0;948.0;947.3333333333334;;15.0;18.0;16.75;13.0;13.0;13.0;68.0;95.0;82.91666666666667;43.0;330.0;86.83333333333333;4.0;6.0;5.0;2.0;3.0;2.3333333333333335
2012-05-25;0.0;944.0;946.0;945.0;991.0;16.0;19.0;17.5;13.0;14.0;13.75;72.0;94.0;85.5;94.0;222.0;138.04166666666666;6.0;6.0;6.0;1.0;2.0;1.5
2012-05-26;0.0;944.0;944.0;944.0;342.0;;;;14.0;14.0;14.0;66.0;98.0;88.125;57.0;288.0;150.04166666666666;0.0;5.0;2.6666666666666665;0.0;1.0;0.3333333333333333
2012-05-27;0.0;943.0;943.0;943.0;1875.5;14.0;18.0;16.0;13.0;13.0;13.0;55.0;97.0;80.54166666666667;5.0;359.0;92.58333333333333;4.0;6.0;5.0;0.0;3.0;1.4
2012-05-28;0.0;944.0;946.0;945.0;1232.6666666666667;17.0;21.0;19.0;15.0;15.0;15.0;60.0;89.0;75.875;3.0;348.0;131.20833333333334;5.0;5.0;5.0;0.0;4.0;2.25
2012-05-29;0.0;942.0;945.0;943.6666666666666;1571.0;20.0;24.0;21.666666666666668;;;;65.0;91.0;78.875;8.0;344.0;296.5;6.0;10.0;7.6;;;
2012-05-30;0.0;938.0;944.0;940.6666666666666;827.6666666666666;12.0;22.0;16.2;10.0;17.0;14.0;65.0;97.0;80.95833333333333;171.0;333.0;263.5416666666667;;;;;;
2012-05-31;0.0;948.0;948.0;948.0;129.0;8.0;13.0;9.666666666666666;1.0;7.0;4.0;35.0;92.0;67.70833333333333;2.0;313.0;127.54166666666667;4.0;4.0;4.0;0.0;2.0;0.7142857142857143
2012-06-01;0.0;949.0;949.0;949.0;1799.0;15.0;15.0;15.0;4.0;5.0;4.25;37.0;81.0;60.166666666666664;32.0;281.0;134.54166666666666;4.0;4.0;4.0;0.0;2.0;1.2
2012-06-02;2.0;942.0;948.0;945.0;;10.0;18.0;15.0;12.0;12.0;12.0;62.0;97.0;83.54166666666667;14.0;359.0;147.0;9.0;9.0;9.0;1.0;4.0;2.25
2012-06-03;2.0;939.0;939.0;939.0;2.0;16.0;16.0;16.0;13.0;16.0;14.333333333333334;46.0;97.0;78.75;209.0;302.0;256.6666666666667;5.0;7.0;6.0;2.0;4.0;2.6
2012-06-04;0.0;943.0;943.0;943.0;514.0;10.0;10.0;10.0;6.0;8.0;6.75;64.0;94.0;78.16666666666667;7.0;351.0;191.08333333333334;2.0;3.0;2.5;0.0;1.0;0.5
2012-06-05;0.0;945.0;946.0;945.5;32.5;5.0;7.0;6.4;2.0;4.0;3.5;54.0;99.0;85.125;10.0;351.0;180.79166666666666;;;;0.0;1.0;0.14285714285714285
2012-06-06;0.0;947.0;949.0;948.0;;2.0;12.0;6.5;;;;43.0;100.0;76.04166666666667;16.0;350.0;160.875;3.0;7.0;5.0;0.0;4.0;1.8571428571428572
2012-06-07;0.0;952.0;954.0;953.25;268.3333333333333;0.0;3.0;1.5;-5.0;2.0;-2.0;45.0;85.0;65.83333333333333;140.0;314.0;239.41666666666666;5.0;5.0;5.0;0.0;6.0;2.25
2012-06-08;0.0;951.0;951.0;951.0;2242.5;-2.0;9.0;2.6666666666666665;-3.0;-2.0;-2.3333333333333335;48.0;91.0;70.79166666666667;32.0;351.0;164.20833333333334;0.0;3.0;2.0;0.0;2.0;1.1111111111111112
2012-06-09;0.0;952.0;952.0;952.0;696.0;1.0;8.0;3.6666666666666665;-2.0;4.0;1.0;49.0;91.0;68.45833333333333;34.0;350.0;102.45833333333333;3.0;3.0;3.0;1.0;3.0;2.0
2012-06-10;0.0;948.0;948.0;948.0;669.0;10.0;12.0;11.0;11.0;11.0;11.0;66.0;96.0;82.79166666666667;29.0;353.0;114.91666666666667;10.0;11.0;10.333333333333334;5.0;5.0;5.0
2012-06-11;1.0;945.0;947.0;946.0;0.6666666666666666;11.0;13.0;12.0;12.0;13.0;12.5;73.0;98.0;92.33333333333333;10.0;359.0;130.375;0.0;4.0;1.75;0.0;0.0;0.0
2012-06-12;0.0;945.0;947.0;946.0;957.0;12.0;13.0;12.5;11.0;15.0;12.333333333333334;73.0;98.0;90.125;12.0;105.0;62.708333333333336;6.0;6.0;6.0;0.0;3.0;1.6666666666666667
2012-06-13;0.0;946.0;948.0;946.6666666666666;1909.0;14.0;24.0;21.25;;;;58.0;92.0;76.33333333333333;19.0;72.0;53.291666666666664;5.0;8.0;6.333333333333333;3.0;5.0;3.6666666666666665
2012-06-14;0.0;946.0;948.0;947.0;;16.0;17.0;16.5;;;;54.0;84.0;71.91666666666667;5.0;349.0;98.16666666666667;5.0;8.0;6.833333333333333;0.0;4.0;2.3333333333333335
2012-06-15;0.0;943.0;946.0;945.0;;16.0;25.0;20.0;14.0;16.0;15.0;41.0;85.0;71.66666666666667;14.0;349.0;150.04166666666666;4.0;6.0;5.5;2.0;4.0;3.0
2012-06-16;0.0;944.0;944.0;944.0;;15.0;17.0;16.0;14.0;14.0;14.0;78.0;95.0;85.83333333333333;10.0;357.0;229.0;5.0;5.0;5.0;0.0;2.0;0.6
2012-06-17;4.0;944.0;947.0;946.0;482.0;18.0;18.0;18.0;10.0;14.0;12.0;75.0;97.0;92.25;47.0;196.0;103.95833333333333;4.0;5.0;4.5;2.0;3.0;2.5
2012-06-18;11.0;937.0;940.0;938.6;340.5;14.0;15.0;14.333333333333334;13.0;13.0;13.0;82.0;97.0;93.08333333333333;4.0;352.0;185.5;4.0;10.0;7.666666666666667;2.0;5.0;3.5
2012-06-19;0.0;940.0;940.0;940.0;18.666666666666668;15.0;15.0;15.0;12.0;12.0;12.0;78.0;98.0;93.08333333333333;126.0;309.0;215.29166666666666;0.0;0.0;0.0;0.0;2.0;0.3333333333333333
2012-06-20;0.0;;;;33.5;10.0;13.0;11.5;9.0;9.0;9.0;75.0;97.0;89.91666666666667;65.0;199.0;134.29166666666666;4.0;5.0;4.666666666666667;2.0;2.0;2.0
2012-06-21;0.0;944.0;944.0;944.0;1.0;9.0;9.0;9.0;11.0;11.0;11.0;65.0;98.0;86.70833333333333;30.0;113.0;70.5;4.0;4.0;4.0;1.0;2.0;1.5
2012-06-22;0.0;941.0;944.0;942.5;78.0;14.0;14.0;14.0;11.0;11.0;11.0;81.0;98.0;93.25;46.0;339.0;183.875;5.0;8.0;6.333333333333333;0.0;2.0;0.6666666666666666
2012-06-23;0.0;949.0;952.0;950.5;69.0;8.0;15.0;10.0;8.0;8.0;8.0;56.0;98.0;81.79166666666667;1.0;358.0;169.66666666666666;0.0;6.0;3.25;0.0;2.0;0.8
2012-06-24;0.0;950.0;951.0;950.5;1782.0;11.0;12.0;11.5;10.0;10.0;10.0;61.0;98.0;80.41666666666667;7.0;357.0;134.375;3.0;7.0;5.0;0.0;4.0;2.0
2012-06-25;0.0;;;;56.0;11.0;12.0;11.5;;;;78.0;96.0;89.58333333333333;77.0;324.0;147.45833333333334;2.0;7.0;4.5;0.0;2.0;0.375
2012-06-26;0.0;950.0;951.0;950.25;1642.0;11.0;20.0;15.5;9.0;9.0;9.0;57.0;94.0;79.625;6.0;104.0;51.583333333333336;;;;1.0;3.0;2.0
2012-06-27;0.0;948.0;950.0;948.6666666666666;1648.0;14.0;15.0;14.5;;;;50.0;87.0;68.125;7.0;353.0;93.16666666666667;;;;2.0;3.0;2.5
2012-06-28;0.0;946.0;947.0;946.5;1144.5;15.0;17.0;15.75;12.0;12.0;12.0;51.0;80.0;68.41666666666667;10.0;358.0;118.54166666666667;6.0;9.0;7.0;4.0;4.0;4.0
2012-06-29;0.0;945.0;946.0;945.5;1073.5;15.0;19.0;16.4;13.0;14.0;13.25;48.0;82.0;67.625;5.0;355.0;121.375;8.0;8.0;8.0;4.0;6.0;5.0
2012-06-30;0.0;943.0;946.0;944.0;698.0;;;;13.0;15.0;13.666666666666666;53.0;73.0;62.916666666666664;1.0;357.0;248.08333333333334;4.0;8.0;5.5;2.0;5.0;3.8
2012-07-01;0.0;946.0;947.0;946.3333333333334;65.0;21.0;21.0;21.0;12.0;14.0;12.666666666666666;45.0;81.0;65.08333333333333;2.0;355.0;123.33333333333333;5.0;5.0;5.0;3.0;5.0;3.6
2012-07-02;0.0;944.0;946.0;945.0;2033.0;15.0;20.0;17.5;11.0;14.0;11.8;50.0;79.0;64.66666666666667;1.0;356.0;129.83333333333334;6.0;8.0;7.5;3.0;5.0;3.6666666666666665
2012-07-03;0.0;944.0;945.0;944.5;1744.0;16.0;20.0;18.333333333333332;13.0;13.0;13.0;37.0;93.0;67.04166666666667;4.0;360.0;122.54166666666667;6.0;7.0;6.5;3.0;3.0;3.0
2012-07-04;0.0;939.0;944.0;942.0;;20.0;25.0;23.0;12.0;13.0;12.5;40.0;92.0;62.458333333333336;7.0;346.0;117.0;5.0;14.0;10.4;0.0;6.0;3.6666666666666665
2012-07-05;0.0;943.0;943.0;943.0;524.0;21.0;21.0;21.0;10.0;11.0;10.666666666666666;56.0;97.0;77.25;16.0;351.0;118.66666666666667;5.0;5.0;5.0;3.0;5.0;4.0
2012-07-06;4.0;941.0;946.0;942.6666666666666;32.5;10.0;11.0;10.5;6.0;10.0;8.333333333333334;94.0;98.0;96.54166666666667;15.0;317.0;172.95833333333334;0.0;10.0;6.0;0.0;4.0;1.6666666666666667
2012-07-07;0.0;;;;250.5;6.0;6.0;6.0;5.0;5.0;5.0;90.0;98.0;95.33333333333333;166.0;216.0;200.16666666666666;0.0;7.0;4.0;0.0;3.0;1.0
2012-07-08;0.0;;;;1882.0;7.0;10.0;8.333333333333334;1.0;4.0;3.0;49.0;96.0;79.20833333333333;47.0;359.0;136.25;0.0;6.0;4.0;0.0;3.0;0.75
2012-07-09;0.0;950.0;951.0;950.5;;7.0;16.0;11.5;9.0;9.0;9.0;59.0;86.0;74.0;7.0;360.0;66.0;6.0;6.0;6.0;3.0;4.0;3.5
2012-07-10;4.0;939.0;943.0;940.6666666666666;;14.0;15.0;14.333333333333334;;;;71.0;97.0;82.875;3.0;345.0;101.66666666666667;9.0;9.0;9.0;3.0;5.0;4.0
2012-07-11;0.0;940.0;943.0;941.6666666666666;2.0;7.0;11.0;8.75;10.0;10.0;10.0;59.0;97.0;87.25;122.0;337.0;238.54166666666666;2.0;6.0;3.75;0.0;2.0;0.4
2012-07-12;0.0;939.0;940.0;939.5;155.33333333333334;5.0;7.0;5.5;3.0;6.0;4.25;51.0;98.0;83.875;38.0;346.0;223.58333333333334;0.0;7.0;3.5;0.0;0.0;0.0
2012-07-13;0.0;941.0;945.0;943.1666666666666;620.0;11.0;12.0;11.5;2.0;3.0;2.25;47.0;84.0;68.95833333333333;261.0;330.0;301.8333333333333;5.0;9.0;7.0;3.0;5.0;3.8
2012-07-14;0.0;947.0;949.0;948.0;;9.0;9.0;9.0;5.0;5.0;5.0;55.0;78.0;66.33333333333333;3.0;357.0;221.83333333333334;5.0;7.0;6.0;2.0;3.0;2.5
2012-07-15;0.0;;;;2149.5;;;;2.0;2.0;2.0;54.0;90.0;73.25;107.0;181.0;143.25;6.0;8.0;7.0;2.0;3.0;2.5
2012-07-16;0.0;955.0;956.0;955.3333333333334;712.0;9.0;9.0;9.0;3.0;3.0;3.0;76.0;94.0;84.95833333333333;88.0;184.0;117.95833333333333;7.0;7.0;7.0;0.0;3.0;2.25
2012-07-17;0.0;;;;555.5;8.0;8.0;8.0;6.0;6.0;6.0;78.0;96.0;88.95833333333333;63.0;267.0;130.41666666666666;0.0;6.0;3.3333333333333335;0.0;3.0;1.1666666666666667
2012-07-18;0.0;950.0;950.0;950.0;12.5;8.0;10.0;8.75;7.0;7.0;7.0;80.0;97.0;90.75;27.0;318.0;203.20833333333334;4.0;4.0;4.0;0.0;2.0;1.0
2012-07-19;0.0;950.0;951.0;950.5;;11.0;11.0;11.0;5.0;7.0;6.0;58.0;99.0;83.70833333333333;5.0;350.0;167.33333333333334;3.0;5.0;4.0;0.0;2.0;1.2
2012-07-20;0.0;947.0;948.0;947.5;395.5;7.0;18.0;12.0;6.0;9.0;7.5;52.0;87.0;73.33333333333333;4.0;348.0;148.95833333333334;6.0;6.0;6.0;3.0;3.0;3.0
2012-07-21;0.0;941.0;944.0;942.5;1593.5;12.0;20.0;16.5;8.0;8.0;8.0;40.0;82.0;66.04166666666667;15.0;354.0;159.0;;;;4.0;5.0;4.25
2012-07-22;0.0;;;;1795.0;12.0;17.0;14.666666666666666;;;;56.0;79.0;69.125;57.0;348.0;138.5;4.0;4.0;4.0;0.0;2.0;1.0
2012-07-23;0.0;947.0;947.0;947.0;688.0;18.0;18.0;18.0;9.0;15.0;11.333333333333334;58.0;91.0;76.08333333333333;12.0;355.0;164.33333333333334;3.0;8.0;6.0;0.0;4.0;1.1666666666666667
2012-07-24;5.0;945.0;945.0;945.0;213.0;15.0;16.0;15.75;13.0;14.0;13.5;65.0;97.0;88.70833333333333;7.0;333.0;162.04166666666666;5.0;8.0;6.5;1.0;4.0;2.25
2012-07-25;0.0;945.0;949.0;946.5;2.0;7.0;7.0;7.0;6.0;7.0;6.666666666666667;85.0;97.0;92.20833333333333;60.0;293.0;134.91666666666666;3.0;8.0;4.5;2.0;2.0;2.0
